g,eta,CV,Synchrony,State
0.0,0.0,0.0,0.0,AR
0.0,0.5714285714285714,0.0,0.0,AR
0.0,1.1428571428571428,0.011218688126759276,1430.626582211548,SR
0.0,1.7142857142857142,0.015464666047700323,903.3811818581823,SR
0.0,2.2857142857142856,0.012716908134777681,695.3535813491128,SR
0.0,2.8571428571428568,0.01269444901803998,599.6849404459485,SR
0.0,3.4285714285714284,0.013233011609693786,513.7078059282275,SR
0.0,4.0,0.014408780064766301,456.1564857904426,SR
0.5333333333333333,0.0,0.0,0.0,AR
0.5333333333333333,0.5714285714285714,0.0,0.0,AR
0.5333333333333333,1.1428571428571428,0.01083890466652735,1430.8162956996812,SR
0.5333333333333333,1.7142857142857142,0.013247254313369277,903.6645021849225,SR
0.5333333333333333,2.2857142857142856,0.011674461950655732,702.5591584531961,SR
0.5333333333333333,2.8571428571428568,0.011952647919945911,599.5195705730106,SR
0.5333333333333333,3.4285714285714284,0.012299026848157396,513.6276802707489,SR
0.5333333333333333,4.0,0.013728099317988228,455.37658814813585,SR
1.0666666666666667,0.0,0.0,0.0,AR
1.0666666666666667,0.5714285714285714,0.0,0.0,AR
1.0666666666666667,1.1428571428571428,0.010080365402396032,1434.7541220121163,SR
1.0666666666666667,1.7142857142857142,0.013003207970274348,903.5603089770702,SR
1.0666666666666667,2.2857142857142856,0.010697877664014704,704.4981182264365,SR
1.0666666666666667,2.8571428571428568,0.011074625670343077,599.546981631739,SR
1.0666666666666667,3.4285714285714284,0.012244532923178779,514.0072706234325,SR
1.0666666666666667,4.0,0.013634876687549244,455.28524763913344,SR
1.6,0.0,0.0,0.0,AR
1.6,0.5714285714285714,0.0,0.0,AR
1.6,1.1428571428571428,0.01328450791517668,1427.096232025265,SR
1.6,1.7142857142857142,0.011886192894065712,903.689775418681,SR
1.6,2.2857142857142856,0.010561208086520562,722.465556598531,SR
1.6,2.8571428571428568,0.010343612932195092,599.2955682692518,SR
1.6,3.4285714285714284,0.011772358044647994,514.5611530538512,SR
1.6,4.0,0.012993164726055852,456.1422086696968,SR
2.1333333333333333,0.0,0.0,0.0,AR
2.1333333333333333,0.5714285714285714,0.0,0.0,AR
2.1333333333333333,1.1428571428571428,0.01198875378245349,1427.527212222541,SR
2.1333333333333333,1.7142857142857142,0.010954046076565787,906.6718779232557,SR
2.1333333333333333,2.2857142857142856,0.009518255995620412,701.473013387064,SR
2.1333333333333333,2.8571428571428568,0.010170933313758932,598.8873937823232,SR
2.1333333333333333,3.4285714285714284,0.011020016470147694,514.3553109007275,SR
2.1333333333333333,4.0,0.012002607464280897,456.9543659074422,SR
2.6666666666666665,0.0,0.0,0.0,AR
2.6666666666666665,0.5714285714285714,0.0,0.0,AR
2.6666666666666665,1.1428571428571428,0.013839266785015512,1433.5032059753132,SR
2.6666666666666665,1.7142857142857142,0.013403474844044866,936.290063126876,SR
2.6666666666666665,2.2857142857142856,0.012091053210324235,705.8891206451921,SR
2.6666666666666665,2.8571428571428568,0.013643277176644165,598.0852140286162,SR
2.6666666666666665,3.4285714285714284,0.011563006321649255,513.6100800671447,SR
2.6666666666666665,4.0,0.01155790749315986,464.80804861732327,SR
3.2,0.0,0.0,0.0,AR
3.2,0.5714285714285714,0.0,0.0,AR
3.2,1.1428571428571428,0.07960435364410967,1165.424050839716,SR
3.2,1.7142857142857142,0.07649223755849476,812.9215511906763,SR
3.2,2.2857142857142856,0.054040218422308425,728.0453720383806,SR
3.2,2.8571428571428568,0.03534358119892058,598.0993862841434,SR
3.2,3.4285714285714284,0.02550915346712719,513.0040516995219,SR
3.2,4.0,0.01966316402037617,449.30404098146613,SR
3.7333333333333334,0.0,0.0,0.0,AR
3.7333333333333334,0.5714285714285714,0.0,0.0,AR
3.7333333333333334,1.1428571428571428,0.23285239017603876,1063.9576507614954,SR
3.7333333333333334,1.7142857142857142,0.1727763040073435,618.5773851559044,SR
3.7333333333333334,2.2857142857142856,0.14448837907970882,516.151233972091,SR
3.7333333333333334,2.8571428571428568,0.12995763687230233,503.40444585869955,SR
3.7333333333333334,3.4285714285714284,0.11635069372915048,409.74871874840255,SR
3.7333333333333334,4.0,0.10612071128826835,377.1684997036248,SR
4.266666666666667,0.0,0.0,0.0,AR
4.266666666666667,0.5714285714285714,0.0,0.0,AR
4.266666666666667,1.1428571428571428,0.365289517603234,582.3154458999912,SR
4.266666666666667,1.7142857142857142,0.30381073478017717,528.7171556640267,SR
4.266666666666667,2.2857142857142856,0.2786192379350759,521.249119101602,SR
4.266666666666667,2.8571428571428568,0.24999600158529786,533.8367184770125,SR
4.266666666666667,3.4285714285714284,0.22507713566634205,581.3055167610611,SR
4.266666666666667,4.0,0.2048247264091485,562.2547676103344,SR
4.8,0.0,0.0,0.0,AR
4.8,0.5714285714285714,0.0,0.0,AR
4.8,1.1428571428571428,0.4305964536559285,294.6144663743476,SR
4.8,1.7142857142857142,0.39165606893204846,322.0089168871767,SR
4.8,2.2857142857142856,0.37827934533078367,406.7436618256077,SR
4.8,2.8571428571428568,0.3676608805161617,516.4562151932951,SR
4.8,3.4285714285714284,0.3630850503918636,632.750966839107,SR
4.8,4.0,0.3802675679577677,855.1818500221447,SR
5.333333333333333,0.0,0.0,0.0,AR
5.333333333333333,0.5714285714285714,0.0,0.0,AR
5.333333333333333,1.1428571428571428,0.4302735031580507,177.6893134668853,SR
5.333333333333333,1.7142857142857142,0.46261302225291906,252.2237628845023,SR
5.333333333333333,2.2857142857142856,0.4557371025556584,292.7724047686339,SR
5.333333333333333,2.8571428571428568,0.4680690789413465,461.53192215339334,SR
5.333333333333333,3.4285714285714284,0.4935192814562745,482.1260016109786,SR
5.333333333333333,4.0,0.5229870960290608,588.6444910949789,SR
5.866666666666666,0.0,0.0,0.0,AR
5.866666666666666,0.5714285714285714,0.0,0.0,AR
5.866666666666666,1.1428571428571428,0.4115735933681805,186.1830385351041,SR
5.866666666666666,1.7142857142857142,0.4987173549105628,195.79587278267982,SR
5.866666666666666,2.2857142857142856,0.5296983289319207,230.7044293480071,SR
5.866666666666666,2.8571428571428568,0.5327650811231611,332.4843122195235,SR
5.866666666666666,3.4285714285714284,0.5727523327812521,430.4124994196007,SR
5.866666666666666,4.0,0.6753829044583249,701.6092612891206,SR
6.4,0.0,0.0,0.0,AR
6.4,0.5714285714285714,0.0,0.0,AR
6.4,1.1428571428571428,0.39336871216061187,110.19921318700925,SR
6.4,1.7142857142857142,0.5119376450960179,154.55344278900816,SR
6.4,2.2857142857142856,0.5636388918515828,195.58513598464657,SR
6.4,2.8571428571428568,0.6083423456776887,298.0918216741859,SR
6.4,3.4285714285714284,0.6873723671669865,433.4473209373388,SR
6.4,4.0,0.8973787595932363,567.9868852256071,SI
6.933333333333334,0.0,0.0,0.0,AR
6.933333333333334,0.5714285714285714,0.0,0.0,AR
6.933333333333334,1.1428571428571428,0.39561478913734516,76.40957689140608,SR
6.933333333333334,1.7142857142857142,0.529898389307216,141.05594132856393,SR
6.933333333333334,2.2857142857142856,0.5908611608610715,163.05722727995186,SR
6.933333333333334,2.8571428571428568,0.6550355311941167,325.13047380469544,SR
6.933333333333334,3.4285714285714284,0.7297219153351133,349.2125385634019,SI
6.933333333333334,4.0,0.9340923479785596,562.4406845060887,SI
7.466666666666667,0.0,0.0,0.0,AR
7.466666666666667,0.5714285714285714,0.0,0.0,AR
7.466666666666667,1.1428571428571428,0.3845498569394834,74.36970263670725,SR
7.466666666666667,1.7142857142857142,0.5265238971464005,102.68020731656523,SR
7.466666666666667,2.2857142857142856,0.6284856212545535,161.80233565023363,SR
7.466666666666667,2.8571428571428568,0.7047021222756625,277.6151382271132,SI
7.466666666666667,3.4285714285714284,0.8262533184245556,382.01927145305126,SI
7.466666666666667,4.0,1.116085994977976,585.1359745214993,SI
8.0,0.0,0.0,0.0,AR
8.0,0.5714285714285714,0.0,0.0,AR
8.0,1.1428571428571428,0.3897680247869679,76.51909497494108,SR
8.0,1.7142857142857142,0.5235174471696029,102.04044814941925,SR
8.0,2.2857142857142856,0.6248534486940274,114.60810651174164,SR
8.0,2.8571428571428568,0.73902072445249,279.6060725722801,SI
8.0,3.4285714285714284,0.8340527234568267,318.68803781345645,SI
8.0,4.0,1.159000998915509,640.2890080083513,SI
